Nopen,"Nama Kantor","KC/KCU",REG,"Tipe Kantor","T. TRX RITEL","T. REV RITEL","T. BRT RITEL","T. Trx Loket","T. Rev Loket","T. Brt Loket","T. Trx Agenpos","T. Rev Agenpos","T. Brt Agenpos","T. Trx Oranger","T. Rev Oranger","T. Brt Oranger","T. Trx Mplace","T. Rev Mplace","T. Brt Mplace","T. Trx PosAja","T. Rev PosAja","T. Brt PosAja","T. Trx LPU","T. Rev LPU","T. Brt LPU"
60296A,"KCP SURABAYASELATANWONOREJO 60296A",60000,5,KPCDK,1,"25,650","2.4",1,"25,650","2.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60293C3,"AGENPOS SIDO BHAKTI JAYA 60293C3",60000,5,AGENPOS,1,"36,000","1.8",0,0,0,1,"36,000","1.8",0,0,0,0,0,0,0,0,0,0,0,0
60293C1,"AGENPOS GANIYYU 60293C1",60000,5,AGENPOS,2,"32,400","0.4",0,0,0,2,"32,400","0.4",0,0,0,0,0,0,0,0,0,0,0,0
60293A1,"KPCDK SURABAYA RUNGKUT 60293A1",60000,5,KPCDK,1,"9,950","0.9",1,"9,950","0.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60284B,"KCP SURABAYANGAGELJAYA 60284B",60000,5,KPCDK,1,"8,550","0.1",1,"8,550","0.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60284A,"KCP SURABAYABARATAJAYA 60284A",60000,5,KPCDK,2,"57,000","0.2",2,"57,000","0.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60271A,"KCP SURABAYASIMPANG 60271A",60000,5,KPCDK,2,"25,600",2,2,"25,600",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60256S2,"PTN DARMO PARK 60256S2",60000,5,AGENBB,2,"56,700",6,0,0,0,2,"56,700",6,0,0,0,0,0,0,0,0,0,0,0,0
60252A,"KCP SURABAYASAWAHAN 60252A",60000,5,KPCDK,4,"50,400","0.8",4,"50,400","0.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60251A1,"KCP SURABAYAPATEMON 60251A1",60000,5,KPCDK,1,"12,600","0.1",1,"12,600","0.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60244C1,"AGENPOS SHAFIERA 60244C1",60000,5,AGENPOS,1,"10,000","0.1",0,0,0,0,0,0,0,0,0,1,"10,000","0.1",0,0,0,0,0,0
60242A,"KCP SURABAYAJOYOBOYO 60242A",60000,5,KPCDK,1,"14,000","0.3",1,"14,000","0.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60235S2,"ARA KEJATI JATIM 60235S2",60000,5,AGENBB,1,"8,100","1.1",0,0,0,1,"8,100","1.1",0,0,0,0,0,0,0,0,0,0,0,0
60231A2,"KPCDK SURABAYA WONOCOLO 60231A2",60000,5,KPCDK,2,"24,900","0.4",2,"24,900","0.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60227C2,"AGENPOS KUPANG JAYA 60227C2",60000,5,AGENPOS,2,"16,070","0.35",0,0,0,1,"8,100","0.1",0,0,0,0,0,0,1,"7,970","0.25",0,0,0
60225A,"KCP SURABAYADUKUHKUPANG 60225A",60000,5,KPCDK,1,"7,000","0.2",1,"7,000","0.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
